L1_S24_F1844,L1_S24_F1846,Response
-0.12300000000000001,0.111,0
-0.26899999999999996,0.175,0
-0.057999999999999996,0.141,0
0.136,-0.145,0
0.045,-0.094,0
-0.152,0.18100000000000002,0
0.233,0.045,0
0.327,-0.193,0
-0.02,-0.09699999999999999,0
-0.028999999999999998,0.122,0
-0.326,0.19,0
-0.03,0.111,0
-0.08,0.16,0
0.285,-0.174,0
0.183,0.068,0
0.21,-0.16,0
0.23600000000000002,-0.171,0
-0.013000000000000001,-0.1,0
0.154,0.08,0
0.34700000000000003,-0.196,0
0.081,-0.126,0
0.03,0.121,0
0.094,0.122,0
0.094,0.122,0
0.35200000000000004,-0.205,0
-0.06,-0.109,0
-0.171,0.158,0
0.13699999999999998,0.09699999999999999,0
-0.145,0.177,0
0.153,0.098,0
-0.085,0.10800000000000001,0
0.065,-0.111,0
0.10300000000000001,-0.127,0
-0.147,-0.03,0
0.251,-0.165,0
-0.171,0.166,0
-0.011000000000000001,-0.217,0
-0.156,-0.07,0
0.397,0.013999999999999999,0
-0.302,0.195,0
0.222,-0.2,0
-0.004,-0.099,0
0.172,-0.131,0
-0.23,0.195,0
0.052000000000000005,-0.19399999999999998,0
0.32299999999999995,-0.193,0
-0.03,0.139,0
-0.23199999999999998,-0.09699999999999999,0
0.275,0.028999999999999998,0
0.096,-0.14300000000000002,0
0.29600000000000004,0.001,0
0.028999999999999998,-0.1,0
-0.084,-0.055,0
0.278,0.021,0
0.10400000000000001,0.113,0
-0.121,0.155,0
0.379,0.006,0
0.184,0.032,0
-0.317,0.18100000000000002,0
0.195,0.105,0
-0.26,0.174,0
0.18899999999999997,-0.141,0
0.233,0.026000000000000002,0
0.141,-0.133,0
-0.17300000000000001,-0.066,0
-0.147,-0.10400000000000001,0
0.053,-0.114,0
-0.113,-0.078,0
-0.027999999999999997,0.106,0
0.397,-0.21899999999999997,0
0.066,-0.121,0
-0.25,0.163,0
0.163,-0.162,0
0.166,-0.147,0
0.4,-0.235,0
0.214,0.083,0
-0.266,-0.012,0
0.188,-0.2,0
-0.003,0.166,0
0.258,0.055999999999999994,0
0.05,0.127,0
0.009000000000000001,0.102,0
0.316,0.011000000000000001,0
0.113,0.067,0
-0.308,0.213,0
0.215,0.07,0
-0.077,-0.085,0
0.009000000000000001,-0.11599999999999999,0
0.013000000000000001,0.099,0
0.267,-0.157,0
0.163,-0.16,0
0.14400000000000002,0.09699999999999999,0
0.069,-0.106,0
-0.18899999999999997,0.19,0
0.063,-0.111,0
0.17,-0.168,0
-0.261,0.212,0
0.28300000000000003,-0.156,0
-0.03,0.12,0
0.38299999999999995,-0.218,0
-0.263,-0.055,0
0.077,0.09300000000000001,0
-0.129,-0.102,0
-0.268,-0.054000000000000006,0
-0.036000000000000004,-0.10099999999999999,0
-0.049,-0.142,0
-0.156,0.132,0
-0.10400000000000001,0.154,0
0.078,-0.114,0
-0.138,-0.128,0
-0.146,-0.115,0
0.162,-0.19899999999999998,0
-0.34600000000000003,0.184,0
0.032,0.096,0
0.076,0.10300000000000001,0
0.17300000000000001,-0.153,0
0.21100000000000002,0.07400000000000001,0
-0.159,0.152,0
-0.19399999999999998,0.179,0
-0.21100000000000002,-0.047,0
-0.096,0.121,0
-0.14400000000000002,0.127,0
-0.284,0.19899999999999998,0
-0.061,-0.107,0
-0.228,0.183,0
0.18100000000000002,-0.153,0
0.10300000000000001,-0.11599999999999999,0
0.182,-0.209,0
-0.035,-0.1,0
-0.196,0.133,0
-0.157,0.192,0
-0.022000000000000002,0.134,0
0.055999999999999994,-0.10800000000000001,0
0.162,0.10099999999999999,0
-0.302,-0.022000000000000002,0
-0.075,-0.115,0
-0.157,0.139,0
0.038,-0.132,0
0.094,0.07400000000000001,0
0.086,0.083,0
-0.175,0.124,0
0.07,0.096,0
-0.055999999999999994,-0.15,0
0.36700000000000005,-0.24600000000000002,0
0.006,0.12300000000000001,0
0.068,0.087,0
-0.314,0.145,0
0.15,-0.155,0
-0.10300000000000001,0.145,0
0.07,-0.125,0
-0.26899999999999996,0.222,0
0.318,-0.213,0
-0.133,0.16,0
-0.09699999999999999,-0.057999999999999996,0
-0.001,-0.10300000000000001,0
-0.265,-0.031,0
0.247,-0.175,0
-0.068,-0.151,0
-0.11199999999999999,-0.11800000000000001,0
0.215,-0.157,0
-0.33299999999999996,0.221,0
0.051,-0.155,0
0.012,0.131,0
-0.259,-0.024,0
0.276,-0.152,0
0.282,0.079,0
-0.221,0.185,0
0.09699999999999999,-0.135,0
-0.256,-0.031,0
-0.204,0.14400000000000002,0
0.154,0.06,0
0.006999999999999999,0.154,0
-0.155,-0.062,0
0.244,-0.171,0
-0.26899999999999996,0.188,0
0.105,-0.166,0
-0.17,-0.11199999999999999,0
-0.33899999999999997,-0.09,0
-0.319,-0.057999999999999996,0
-0.20199999999999999,0.185,0
-0.314,-0.07200000000000001,0
-0.311,0.20600000000000002,0
0.012,-0.11,0
0.054000000000000006,-0.11900000000000001,0
-0.313,0.18600000000000003,0
0.23,0.046,0
-0.011000000000000001,0.09,0
-0.011000000000000001,0.09,0
-0.027999999999999997,-0.106,0
0.306,-0.301,0
0.057,0.14,0
-0.215,0.166,0
0.21100000000000002,0.046,0
-0.299,0.196,0
0.14,0.07200000000000001,0
0.054000000000000006,-0.147,0
-0.08199999999999999,0.146,0
0.096,0.10400000000000001,0
0.09699999999999999,-0.136,0
0.256,-0.174,0
0.14300000000000002,0.079,0
0.358,-0.201,0
-0.314,0.226,0
-0.035,-0.08199999999999999,0
0.149,0.07200000000000001,0
0.039,0.099,0
0.067,-0.147,0
-0.099,-0.095,0
-0.19,-0.044000000000000004,0
0.22699999999999998,0.046,0
-0.258,0.05,0
0.273,0.039,0
0.155,0.085,0
-0.261,-0.071,0
0.196,0.053,0
-0.218,0.11699999999999999,0
0.172,-0.171,0
0.382,0.005,0
0.315,0.076,0
-0.006999999999999999,-0.09699999999999999,0
-0.102,0.16399999999999998,0
-0.051,-0.095,0
0.222,-0.196,0
0.1,-0.214,0
-0.29100000000000004,-0.03,0
0.1,-0.11800000000000001,0
-0.08199999999999999,0.136,0
-0.27699999999999997,-0.07,0
-0.353,0.214,0
0.06,0.057,0
-0.066,-0.08900000000000001,0
-0.23199999999999998,-0.044000000000000004,0
0.16699999999999998,-0.161,0
-0.254,0.174,0
-0.335,-0.003,0
-0.258,0.217,0
0.163,-0.124,0
-0.149,-0.159,0
0.209,0.063,0
0.221,0.054000000000000006,0
0.017,-0.075,0
-0.17800000000000002,0.158,0
-0.33,-0.068,0
0.19699999999999998,-0.156,0
0.193,0.05,0
0.038,0.129,0
0.16399999999999998,0.105,0
0.152,-0.14,0
0.19699999999999998,-0.172,0
0.064,-0.09699999999999999,0
0.084,0.12300000000000001,0
-0.335,-0.11900000000000001,0
0.165,-0.133,0
-0.336,0.215,0
0.013999999999999999,0.11900000000000001,0
0.001,0.12300000000000001,1
0.001,0.12300000000000001,1
0.001,0.12300000000000001,0
-0.105,-0.106,0
-0.054000000000000006,0.135,0
-0.23,-0.159,0
-0.35700000000000004,0.23800000000000002,0
0.003,-0.115,0
-0.24600000000000002,-0.08800000000000001,0
0.301,0.016,0
0.297,0.035,0
-0.299,-0.505,1
-0.299,-0.505,1
-0.299,-0.505,1
-0.299,-0.505,0
0.32899999999999996,0.038,0
-0.052000000000000005,0.172,0
-0.043,0.16899999999999998,0
-0.324,0.188,0
0.16,-0.13,0
-0.182,0.11599999999999999,0
0.264,0.08800000000000001,0
0.319,0.009000000000000001,0
-0.019,0.14300000000000002,0
-0.087,0.17800000000000002,0
0.019,-0.09300000000000001,0
-0.052000000000000005,0.135,0
-0.12300000000000001,0.16,0
-0.15,-0.1,0
0.265,0.084,0
-0.079,0.115,0
0.222,0.073,0
-0.099,0.149,0
0.245,0.08900000000000001,0
0.157,-0.135,0
